supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,0,142,0.047679500645469754,0.11971830985915492
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,1,127,0.1478783356272186,0.2283464566929134
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,2,89,0.24863258029253432,0.3258426966292135
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,3,76,0.3553621717937798,0.3815789473684211
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,4,79,0.449742373585876,0.4430379746835443
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,5,83,0.5429383140335561,0.5060240963855421
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,6,93,0.6522772839085209,0.6021505376344086
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,7,107,0.7482649661881122,0.6915887850467289
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,8,128,0.8555427682959532,0.75
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,9,182,0.9535263336544925,0.9395604395604396
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,0,142,0.047679500645469754,0.11971830985915492
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,1,127,0.1478783356272186,0.2283464566929134
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,2,89,0.24863258029253432,0.3258426966292135
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,3,76,0.3553621717937798,0.3815789473684211
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,4,79,0.449742373585876,0.4430379746835443
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,5,83,0.5429383140335561,0.5060240963855421
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,6,93,0.6522772839085209,0.6021505376344086
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,7,107,0.7482649661881122,0.6915887850467289
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,8,128,0.8555427682959532,0.75
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,9,182,0.9535263336544925,0.9395604395604396
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_score_red_win_probability,0,142,0.047679500645469754,0.11971830985915492
