calibrator,supervision_mode,architecture,source_match_key_hash,source_row_count,source_non_tie_count,coefficient,intercept,development_model_hash,development_prediction_hash
independent-platt,phase-core,additive,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.31762600786815615,0.09029771383752498,4e97d1fe3af11dd429bdf161239231026624954485dff6d837213cf21968b3c1,fc46795cd5dd4cdabbe478be747df72929c034c89bee73f0994eb22b4253def4
score-differential-logistic,phase-core,additive,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.015017448923490356,-0.24905206318781506,4e97d1fe3af11dd429bdf161239231026624954485dff6d837213cf21968b3c1,fc46795cd5dd4cdabbe478be747df72929c034c89bee73f0994eb22b4253def4
independent-platt,phase-core,teammate-set,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.1437038170568018,0.08512142510009385,70ea57b38f5547afd5c0931cbdec708e889ca1282c2964da3539463d3d3db6fc,c91ca9d663b6cf73a3f29f0ac93df4b0c744df8202d8eb4629788caf32a0f61d
score-differential-logistic,phase-core,teammate-set,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.011381231416444941,-0.16717577038122655,70ea57b38f5547afd5c0931cbdec708e889ca1282c2964da3539463d3d3db6fc,c91ca9d663b6cf73a3f29f0ac93df4b0c744df8202d8eb4629788caf32a0f61d
independent-platt,phase-core,full-match,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.14969693262838082,0.11074064050672235,7007ee11fb6b470be8ab5abd2d73f49ed5e33bc9b1a031d5571e9b96d7856268,0dd31aae2e1b01d855fbac63f8dfe5702841012025a87ea875467835f6b9194f
score-differential-logistic,phase-core,full-match,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.010878744724781552,-0.10486379511015984,7007ee11fb6b470be8ab5abd2d73f49ed5e33bc9b1a031d5571e9b96d7856268,0dd31aae2e1b01d855fbac63f8dfe5702841012025a87ea875467835f6b9194f
independent-platt,official-total-core,additive,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.31485862781209134,0.09118047043171419,d6970e165a70d11995e3e16b425f5d41c48ada2bcf28d17f32f285c645ff59dc,ed0d1ec1f818f4dbc17fe3948c1ccd9c0e034033fd5b0623084c2ea953dff424
score-differential-logistic,official-total-core,additive,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.014885401890920438,-0.2617580595663837,d6970e165a70d11995e3e16b425f5d41c48ada2bcf28d17f32f285c645ff59dc,ed0d1ec1f818f4dbc17fe3948c1ccd9c0e034033fd5b0623084c2ea953dff424
independent-platt,official-total-core,teammate-set,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.17586149991604716,0.08609139982701926,f7fc47c3c12693c4b1309b00ac5dad2ab81ea4b9414fb2ceb6afc7aa46107990,a583dd6c88dd16d5060a0d9f88b5b27a76b5aba1764e854b869c34d279594ed4
score-differential-logistic,official-total-core,teammate-set,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.01100498074405554,-0.17948103073966362,f7fc47c3c12693c4b1309b00ac5dad2ab81ea4b9414fb2ceb6afc7aa46107990,a583dd6c88dd16d5060a0d9f88b5b27a76b5aba1764e854b869c34d279594ed4
independent-platt,official-total-core,full-match,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.1573057349729971,0.11841668412572148,5f4ab704edb934d8287e9ab4d55dc4a26ed90b9d7551e4b659d91e7cf547e19e,e42e649670e4962310190d4dde5753015bc1a50eac6138d73253777ebecca792
score-differential-logistic,official-total-core,full-match,38e6c93404c1bfd552b05dd6d2b6a85d7a501435390f83f80fa70c5966890bec,1642,1625,0.01025944081065658,-0.12451879357022394,5f4ab704edb934d8287e9ab4d55dc4a26ed90b9d7551e4b659d91e7cf547e19e,e42e649670e4962310190d4dde5753015bc1a50eac6138d73253777ebecca792
