comparison,metric,omitted_event,delta_right_minus_left,left_value,right_value,relative_delta
supervision:additive,score_squared_error,2026arc,-1029.671495233396,129.78901284805076,125.75975652345262,-0.031044664229901726
supervision:additive,score_squared_error,2026cur,-1007.2769723001046,129.58106017157914,125.63428744928794,-0.030457944371386162
supervision:additive,score_squared_error,2026dal,-966.0087348371684,132.3040593383944,128.6015372481224,-0.027984947013621468
supervision:additive,score_squared_error,2026gal,-442.53553672465574,124.4368866373924,122.6458446882021,-0.014393175509199102
supervision:additive,score_squared_error,2026hop,-981.7769543073002,128.0110732934525,124.11711377338086,-0.03041892720597019
supervision:additive,score_squared_error,2026joh,-1022.117683255304,129.82845279480858,125.8304791051776,-0.030794279709623465
supervision:additive,score_squared_error,2026mil,-925.5331253766116,130.94290084075016,127.35976662672525,-0.02736409680111362
supervision:additive,score_squared_error,2026new,-886.4574434015602,127.48763372061144,123.96224952895628,-0.027652754143833485
supervision:additive,differential_squared_error,2026arc,-1077.4750551151033,152.46114466665392,148.88561239404993,-0.023452088598846975
supervision:additive,differential_squared_error,2026cur,-1069.204149707213,155.57253928022539,152.0973728517033,-0.022337916733893643
supervision:additive,differential_squared_error,2026dal,-977.8632787006057,155.47653996570244,152.29934734267925,-0.02043518992462828
supervision:additive,differential_squared_error,2026gal,-92.49564024657619,148.1192645457485,147.80670109750386,-0.0021102146922158567
supervision:additive,differential_squared_error,2026hop,-1084.8498826285363,152.80585221256518,149.2138686174304,-0.023506845733487058
supervision:additive,differential_squared_error,2026joh,-1050.3831578859874,153.39287702324654,149.92995552451436,-0.022575503934301876
supervision:additive,differential_squared_error,2026mil,-981.6562226617457,154.64376916899562,151.43658448384215,-0.020739178192485948
supervision:additive,differential_squared_error,2026new,-978.8250677438921,153.10840282829253,149.87781006168595,-0.02110003570626761
supervision:additive,winner_brier,2026arc,0.00037773647541988785,0.21507345965506597,0.21545119613048588,0.0017563137544991728
supervision:additive,winner_brier,2026cur,0.0006507000878315618,0.22191598266454873,0.2225666827523803,0.0029321911834317344
supervision:additive,winner_brier,2026dal,0.00013635537891976197,0.22295224990051524,0.22308860527943503,0.0006115900556313426
supervision:additive,winner_brier,2026gal,0.0011925776200857456,0.21634286802793912,0.21753544564802485,0.0055124424990599654
supervision:additive,winner_brier,2026hop,0.0008272729990308798,0.22282701472446145,0.22365428772349236,0.0037126243424922003
supervision:additive,winner_brier,2026joh,0.00041780268999715235,0.21888494275111176,0.21930274544110892,0.0019087776653154151
supervision:additive,winner_brier,2026mil,0.0003116757516503492,0.22069618820080625,0.22100786395245658,0.0014122389434599123
supervision:additive,winner_brier,2026new,0.00040186763060315317,0.22143948077063091,0.2218413484012341,0.0018147966622963645
supervision:additive,winner_log_loss,2026arc,0.0038679368498877845,0.7672096608121224,0.77107759766201,0.0050415643173643745
supervision:additive,winner_log_loss,2026cur,0.0059033262136851455,0.8046650172889476,0.8105683435026328,0.007336377358089435
supervision:additive,winner_log_loss,2026dal,0.0056544990909689246,0.8067779995042724,0.8124324985952412,0.007008742298926408
supervision:additive,winner_log_loss,2026gal,0.012551499751358027,0.7750760660330945,0.7876275657844526,0.016193894123963472
supervision:additive,winner_log_loss,2026hop,0.007287065213958492,0.7994400273673785,0.8067270925813369,0.009115211853921414
supervision:additive,winner_log_loss,2026joh,0.004215786521562541,0.7769822586120412,0.7811980451336036,0.005425846568354412
supervision:additive,winner_log_loss,2026mil,0.004410328759249525,0.7912189118112927,0.7956292405705422,0.005574094215156207
supervision:additive,winner_log_loss,2026new,0.006084705219520323,0.7988608784031972,0.8049455836227175,0.007616726997174684
supervision:teammate-set,score_squared_error,2026arc,1256.3436740918942,139.62774367862,144.05641422329762,0.031717697557808164
supervision:teammate-set,score_squared_error,2026cur,1099.105409629308,139.91565309789752,143.78976107998966,0.02768888181068253
supervision:teammate-set,score_squared_error,2026dal,1419.5290170446476,141.05283700593333,145.99805424890786,0.03505932491642488
supervision:teammate-set,score_squared_error,2026gal,1021.5732616931524,138.06162507953326,141.71303955986113,0.026447714766680456
supervision:teammate-set,score_squared_error,2026hop,1451.983895273123,135.84768454021383,141.0906704577258,0.03859459169478831
supervision:teammate-set,score_squared_error,2026joh,1042.404277223224,139.4566793973413,143.14527482860223,0.02644975806968227
supervision:teammate-set,score_squared_error,2026mil,1161.065558464031,140.68602373664433,144.7536625902491,0.0289128852004456
supervision:teammate-set,score_squared_error,2026new,1546.5835233226094,138.08985363789571,143.58060872227162,0.03976219062968931
supervision:teammate-set,differential_squared_error,2026arc,3507.084604942669,167.65786272005727,177.8095709932405,0.06055014723725666
supervision:teammate-set,differential_squared_error,2026cur,3043.451213776588,170.57360003047398,179.27298804095585,0.051000787982007016
supervision:teammate-set,differential_squared_error,2026dal,3660.2089431895647,168.4852220621554,179.01809684085958,0.06251512536107488
supervision:teammate-set,differential_squared_error,2026gal,3016.122347633291,167.3736803923712,176.15354448809967,0.05245665910641379
supervision:teammate-set,differential_squared_error,2026hop,3191.17847001153,167.726234419962,176.9838076850862,0.0551945454277867
supervision:teammate-set,differential_squared_error,2026joh,3514.4332024414075,169.06398679898635,179.15653723715818,0.05969663101682125
supervision:teammate-set,differential_squared_error,2026mil,3549.368594656871,169.61100387105043,179.77002316516055,0.05989599178266574
supervision:teammate-set,differential_squared_error,2026new,4096.905021025562,168.7923645565112,180.520822493151,0.06948452892081597
supervision:teammate-set,winner_brier,2026arc,0.023026250550409383,0.2689468145247868,0.29197306507519616,0.08561637211095206
supervision:teammate-set,winner_brier,2026cur,0.021027231429806545,0.27429288200521945,0.295320113435026,0.07665977795736761
supervision:teammate-set,winner_brier,2026dal,0.016890296161208407,0.2728588144939317,0.28974911065514014,0.06190122973499945
supervision:teammate-set,winner_brier,2026gal,0.018145083023428342,0.27296250376277026,0.29110758678619864,0.06647463579539166
supervision:teammate-set,winner_brier,2026hop,0.024587010346052308,0.2792748981452661,0.30386190849131844,0.08803874071511887
supervision:teammate-set,winner_brier,2026joh,0.01817004229420635,0.27785344029099385,0.29602348258520017,0.0653943398187799
supervision:teammate-set,winner_brier,2026mil,0.025240077374298984,0.26724138115757906,0.29248145853187807,0.0944467404897005
supervision:teammate-set,winner_brier,2026new,0.027030610644254494,0.26967113989342506,0.29670175053767955,0.10023545958583882
supervision:teammate-set,winner_log_loss,2026arc,0.06175817975131994,1.2333109396725248,1.295069119423845,0.05007510901323766
supervision:teammate-set,winner_log_loss,2026cur,0.05652332533404127,1.3009576695602034,1.3574809948942446,0.04344747462317448
supervision:teammate-set,winner_log_loss,2026dal,0.024927754542393436,1.2896735284684926,1.3146012830108862,0.019328732421138934
supervision:teammate-set,winner_log_loss,2026gal,0.006175738000161411,1.2771182821915086,1.28329402019167,0.0048356820869904305
supervision:teammate-set,winner_log_loss,2026hop,0.06135936532177782,1.3383761105048906,1.3997354758266682,0.045846130127524753
supervision:teammate-set,winner_log_loss,2026joh,0.012988565308678292,1.3262144870890578,1.339203052397736,0.009793713939279346
supervision:teammate-set,winner_log_loss,2026mil,0.06735114345722665,1.251661175761575,1.3190123192188015,0.053809405261968424
