comparison,left,right,metric,delta_right_minus_left,left_value,right_value,relative_delta,ci_low,ci_high,probability_improvement
supervision:additive,phase-core:additive,official-total-core:additive,score_squared_error,-907.7016772112595,129.06880571763853,125.50320686008888,-0.02762556636148041,-1898.2178613899678,-272.3107325319986,1.0
supervision:additive,phase-core:additive,official-total-core:additive,differential_squared_error,-914.133487762683,153.21569687428737,150.20291701864792,-0.01966365011615892,-2628.3422176499216,60.56228862620396,0.9246
supervision:additive,phase-core:additive,official-total-core:additive,winner_brier,0.0005394714537243758,0.22001737292072687,0.22055684437445122,0.002451949346376039,-0.001111391697362169,0.0019300229245588837,0.2358
supervision:additive,phase-core:additive,official-total-core:additive,winner_log_loss,0.006246718004614286,0.7900341230073297,0.796280841011944,0.007906896452567959,-0.0076029575893712675,0.01661169660150622,0.161
supervision:teammate-set,phase-core:teammate-set,official-total-core:teammate-set,score_squared_error,1249.6600774954559,139.102923258836,143.52450430727527,0.031786399198899654,324.45114840181066,2138.036023732317,0.0034
supervision:teammate-set,phase-core:teammate-set,official-total-core:teammate-set,differential_squared_error,3447.197256603854,168.66507476898886,178.59200626968848,0.05885588059232765,1819.4050337199606,4967.0987585073035,0.0
supervision:teammate-set,phase-core:teammate-set,official-total-core:teammate-set,winner_brier,0.021762867145419057,0.27288683765414673,0.29464970479956576,0.07975051978505833,0.004625394130000953,0.038883613496167965,0.0052
supervision:teammate-set,phase-core:teammate-set,official-total-core:teammate-set,winner_log_loss,0.04416088644396117,1.2912249512708447,1.3353858377148058,0.03420076912275993,-0.057763577872991814,0.16792971782049115,0.2178
supervision:full-match,phase-core:full-match,official-total-core:full-match,score_squared_error,-308.0759250077236,144.70006019644367,143.6315825152905,-0.007384085947874703,-1335.6233493812838,667.1883913884991,0.712
supervision:full-match,phase-core:full-match,official-total-core:full-match,differential_squared_error,3648.439239061028,168.31350015794771,178.8235822660996,0.06244348848006301,898.6886859537777,6149.144627452192,0.0034
supervision:full-match,phase-core:full-match,official-total-core:full-match,winner_brier,0.005551681991977673,0.2842199184537929,0.2897716004457706,0.019533050400478046,-0.020269287215283604,0.030647749961413617,0.3636
supervision:full-match,phase-core:full-match,official-total-core:full-match,winner_log_loss,0.13062794256532778,1.513303159331764,1.643931101897092,0.08631974483091001,-0.06645630834252174,0.31261819143488023,0.098
teammate-v-additive:phase-core,phase-core:additive,phase-core:teammate-set,score_squared_error,2690.8666497760973,129.06880571763853,139.102923258836,0.0777423908542931,580.9876391511639,4496.21833865048,0.006
teammate-v-additive:phase-core,phase-core:additive,phase-core:teammate-set,differential_squared_error,4972.857678155088,153.21569687428737,168.66507476898886,0.10083417175837808,2286.18084618951,7069.372050508828,0.0
teammate-v-additive:phase-core,phase-core:additive,phase-core:teammate-set,winner_brier,0.05286946473341986,0.22001737292072687,0.27288683765414673,0.24029677307559225,0.033072420517087656,0.07261378440423918,0.0
teammate-v-additive:phase-core,phase-core:additive,phase-core:teammate-set,winner_log_loss,0.501190828263515,0.7900341230073297,1.2912249512708447,0.6343913682559571,0.3509310296343587,0.6420954207825441,0.0
full-v-teammate:phase-core,phase-core:teammate-set,phase-core:full-match,score_squared_error,1588.4841617008028,139.102923258836,144.70006019644367,0.040237378241094114,619.4897766603444,2468.689028165267,0.0014
full-v-teammate:phase-core,phase-core:teammate-set,phase-core:full-match,differential_squared_error,-118.47311140913641,168.66507476898886,168.31350015794771,-0.002084454126159054,-2560.0726083574837,2401.690152830053,0.5342
full-v-teammate:phase-core,phase-core:teammate-set,phase-core:full-match,winner_brier,0.011333080799646192,0.27288683765414673,0.2842199184537929,0.04153033138963477,-0.01945085790977612,0.041675166830508065,0.2336
full-v-teammate:phase-core,phase-core:teammate-set,phase-core:full-match,winner_log_loss,0.22207820806091938,1.2912249512708447,1.513303159331764,0.17199033200399852,-0.030577992829309314,0.4893359750294786,0.0442
full-v-additive:phase-core,phase-core:additive,phase-core:full-match,score_squared_error,4279.3508114769,129.06880571763853,144.70006019644367,0.12110791908155838,1777.2379662694473,6230.274840762036,0.0002
full-v-additive:phase-core,phase-core:additive,phase-core:full-match,differential_squared_error,4854.384566745952,153.21569687428737,168.31350015794771,0.09853953342683944,1331.4556957259388,7564.094505465823,0.0038
full-v-additive:phase-core,phase-core:additive,phase-core:full-match,winner_brier,0.06420254553306606,0.22001737292072687,0.2842199184537929,0.2918067090829162,0.038134104201228924,0.0899210834341718,0.0
full-v-additive:phase-core,phase-core:additive,phase-core:full-match,winner_log_loss,0.7232690363244345,0.7900341230073297,1.513303159331764,0.9154908823067686,0.5657352638367826,0.8825706941102823,0.0
teammate-v-additive:official-total-core,official-total-core:additive,official-total-core:teammate-set,score_squared_error,4848.228404482813,125.50320686008888,143.52450430727527,0.14359232642777445,3776.389302563951,5866.438339119084,0.0
teammate-v-additive:official-total-core,official-total-core:additive,official-total-core:teammate-set,differential_squared_error,9334.188422521625,150.20291701864792,178.59200626968848,0.18900491291734375,7340.78436233346,11071.636016335693,0.0
teammate-v-additive:official-total-core,official-total-core:additive,official-total-core:teammate-set,winner_brier,0.07409286042511454,0.22055684437445122,0.29464970479956576,0.3359354393886916,0.057020986811767344,0.09286545281170124,0.0
teammate-v-additive:official-total-core,official-total-core:additive,official-total-core:teammate-set,winner_log_loss,0.5391049967028619,0.796280841011944,1.3353858377148058,0.6770287176792382,0.38477533639454825,0.6894573446299652,0.0
full-v-teammate:official-total-core,official-total-core:teammate-set,official-total-core:full-match,score_squared_error,30.748159197623277,143.52450430727527,143.6315825152905,0.0007460622040259948,-901.1950550291175,984.4615309528516,0.4678
full-v-teammate:official-total-core,official-total-core:teammate-set,official-total-core:full-match,differential_squared_error,82.76887104803743,178.59200626968848,178.8235822660996,0.0012966761572823426,-2471.6459912642217,2451.5199439331445,0.4662
full-v-teammate:official-total-core,official-total-core:teammate-set,official-total-core:full-match,winner_brier,-0.004878104353795184,0.29464970479956576,0.2897716004457706,-0.016555605773009224,-0.023252796164166877,0.017473449460554343,0.6938
full-v-teammate:official-total-core,official-total-core:teammate-set,official-total-core:full-match,winner_log_loss,0.308545264182286,1.3353858377148058,1.643931101897092,0.23105326975032753,0.15622017273684843,0.48221355399628707,0.0
full-v-additive:official-total-core,official-total-core:additive,official-total-core:full-match,score_squared_error,4878.976563680436,125.50320686008888,143.6315825152905,0.14444551743933637,3569.0050285543216,5892.814411961331,0.0
full-v-additive:official-total-core,official-total-core:additive,official-total-core:full-match,differential_squared_error,9416.957293569661,150.20291701864792,178.8235822660996,0.19054666723881522,7365.683290363957,11436.608962587927,0.0
full-v-additive:official-total-core,official-total-core:additive,official-total-core:full-match,winner_brier,0.06921475607131936,0.22055684437445122,0.2897716004457706,0.31381821891598055,0.05621769879421296,0.08153296827467965,0.0
full-v-additive:official-total-core,official-total-core:additive,official-total-core:full-match,winner_log_loss,0.8476502608851479,0.796280841011944,1.643931101897092,1.0645116863642252,0.7564712920524633,0.9399879847741681,0.0
