phase,supervision_mode,architecture,epoch,nominal_parameter_count,trainable_parameter_count,gradient_receiving_parameter_count,active_team_rows,module_Z_base_nominal_parameter_count,module_Z_base_trainable_parameter_count,module_Z_base_gradient_receiving_parameter_count,module_prediction_heads_nominal_parameter_count,module_prediction_heads_trainable_parameter_count,module_prediction_heads_gradient_receiving_parameter_count,module_sab_nominal_parameter_count,module_sab_trainable_parameter_count,module_sab_gradient_receiving_parameter_count,module_pma_nominal_parameter_count,module_pma_trainable_parameter_count,module_pma_gradient_receiving_parameter_count,module_cross_nominal_parameter_count,module_cross_trainable_parameter_count,module_cross_gradient_receiving_parameter_count
development,phase-core,additive,1,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,2,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,3,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,4,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,5,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,6,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,7,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,8,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,9,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,10,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,11,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,12,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,13,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,14,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,15,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,16,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,17,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,18,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,19,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,20,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,21,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,22,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,23,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,24,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,25,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,26,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,27,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,28,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,29,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,30,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,31,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,32,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,33,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,34,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,35,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,36,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,37,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,38,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,39,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,40,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,41,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,42,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,43,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,44,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,45,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,46,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,47,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,48,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,49,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,50,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,51,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,52,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,53,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,54,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,55,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,56,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,57,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,58,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,59,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,60,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,61,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,62,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,63,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,64,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,65,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,66,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,67,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,68,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,69,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,70,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,71,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,72,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
development,phase-core,additive,73,58530,58530,58530,3625,58480,58480,58480,50,50,50,,,,,,,,,
