supervision_mode,architecture,seed,epoch,scope,probability_variant,metric,value,count,direction
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,alliance_score_rmse,123.60487064898084,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,mean_bias,-54.93888151710828,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,raw_pred_red_win_probability,relative_bias,-0.12639763767774267,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,alliance_score_rmse,123.60487064898084,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,mean_bias,-54.93888151710828,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_platt_red_win_probability,relative_bias,-0.12639763767774267,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_score_red_win_probability,alliance_score_rmse,123.60487064898084,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_score_red_win_probability,mean_bias,-54.93888151710828,2216,lower
baseline,direct-total-pridge,control,0.0,primary-clean,transferred_score_red_win_probability,relative_bias,-0.12639763767774267,2216,lower
baseline,direct-total-pridge,control,0.0,all-official,raw_pred_red_win_probability,alliance_score_rmse,124.00397015425933,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,raw_pred_red_win_probability,mean_bias,-54.716685124499236,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,raw_pred_red_win_probability,relative_bias,-0.12606233251728374,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,alliance_score_rmse,124.00397015425933,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,mean_bias,-54.716685124499236,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_platt_red_win_probability,relative_bias,-0.12606233251728374,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,alliance_score_rmse,124.00397015425933,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,mean_bias,-54.716685124499236,2238,lower
baseline,direct-total-pridge,control,0.0,all-official,transferred_score_red_win_probability,relative_bias,-0.12606233251728374,2238,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,alliance_score_rmse,159.15687450808684,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,mean_bias,-32.33544848715177,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,raw_pred_red_win_probability,relative_bias,-0.0867007759558,22,lower
baseline,direct-total-pridge,control,0.0,DQ-only,transferred_platt_red_win_probability,alliance_score_rmse,159.15687450808684,22,lower
