match_key,event_key,event_start_date,event_type,canonical_week,split_role,included_for_score,included_for_win,exclusion_reason
2026arc_f1m1,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_f1m2,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_f1m3,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm1,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm10,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm100,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm101,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm102,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm103,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm104,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm105,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm106,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm107,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm108,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm109,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm11,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm110,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm111,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm112,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm113,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm114,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm115,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm116,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm117,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm118,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm119,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm12,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm120,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm121,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm122,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm123,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm124,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm125,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm13,2026arc,2026-04-29,3,10.0,championship_test,True,False,
2026arc_qm14,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm15,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm16,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm17,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm18,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm19,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm2,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm20,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm21,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm22,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm23,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm24,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm25,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm26,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm27,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm28,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm29,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm3,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm30,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm31,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm32,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm33,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm34,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm35,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm36,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm37,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm38,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm39,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm4,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm40,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm41,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm42,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm43,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm44,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm45,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm46,2026arc,2026-04-29,3,10.0,championship_test,True,True,
2026arc_qm47,2026arc,2026-04-29,3,10.0,championship_test,True,True,
