phase,supervision_mode,architecture,epoch,train_loss,validation_loss,learning_rate,train_rows,validation_rows,train_events,validation_events,nominal_parameter_count,trainable_parameter_count,gradient_receiving_parameter_count,learning_rate_group_0,learning_rate_group_1,active_team_rows,z_base_norm_mean,z_base_norm_std,z_base_norm_p05,z_base_norm_p50,z_base_norm_p95,z_base_ghost_norm,z_base_update_norm_mean,module_Z_base_nominal_parameter_count,module_Z_base_trainable_parameter_count,module_Z_base_gradient_receiving_parameter_count,module_prediction_heads_nominal_parameter_count,module_prediction_heads_trainable_parameter_count,module_prediction_heads_gradient_receiving_parameter_count,train_score_mae,train_score_rmse,train_score_differential_mae,train_score_differential_rmse,train_winner_accuracy,train_winner_brier,train_winner_log_loss,train_winner_ece,validation_score_mae,validation_score_rmse,validation_score_differential_mae,validation_score_differential_rmse,validation_winner_accuracy,validation_winner_brier,validation_winner_log_loss,validation_winner_ece,optimizer_steps,preclip_grad_norm_mean,preclip_grad_norm_max,clipping_fraction,epoch_seconds,samples_per_second,continuous_loss,continuous_active_count,validation_continuous_loss,validation_continuous_active_count,win_loss,win_active_count,validation_win_loss,validation_win_active_count,embedding_loss,embedding_active_count,validation_embedding_loss,validation_embedding_active_count,endgame_loss,endgame_active_count,validation_endgame_loss,validation_endgame_active_count,auto_loss,auto_active_count,validation_auto_loss,validation_auto_active_count,awards_loss,awards_active_count,validation_awards_loss,validation_awards_active_count,atomic_loss,atomic_active_count,validation_atomic_loss,validation_atomic_active_count,foul_loss,foul_active_count,validation_foul_loss,validation_foul_active_count,bonus_loss,bonus_active_count,validation_bonus_loss,validation_bonus_active_count,special_loss,special_active_count,validation_special_loss,validation_special_active_count,rank_loss,rank_active_count,validation_rank_loss,validation_rank_active_count,playoff_loss,playoff_active_count,validation_playoff_loss,validation_playoff_active_count,selection_loss,selection_active_count,validation_selection_loss,validation_selection_active_count,wm_award_loss,wm_award_active_count,validation_wm_award_loss,validation_wm_award_active_count,wm_rank_loss,wm_rank_active_count,validation_wm_rank_loss,validation_wm_rank_active_count,wm_pick_loss,wm_pick_active_count,validation_wm_pick_loss,validation_wm_pick_active_count,learning_rate_group_2,module_sab_nominal_parameter_count,module_sab_trainable_parameter_count,module_sab_gradient_receiving_parameter_count,module_pma_nominal_parameter_count,module_pma_trainable_parameter_count,module_pma_gradient_receiving_parameter_count,module_cross_nominal_parameter_count,module_cross_trainable_parameter_count,module_cross_gradient_receiving_parameter_count
development,phase-core,additive,1,1.4835827436070588,3.1667091181449565,0.001,15373,1642,181,16,58530,58530,58530,0.0009997557473810372,0.0009997557473810372,3625,0.5952030420303345,0.28693798184394836,0.27693742513656616,0.5331946611404419,1.3117024898529053,1.9086114168167114,0.05118967220187187,58480,58480,58480,50,50,50,77.37562561035156,104.31404876708984,97.60620880126953,130.3071746826172,0.7039236620846123,0.22299644351005554,0.6383816003799438,0.15104203122640253,144.2135009765625,179.96743774414062,129.9621124267578,166.3391571044922,0.6461538461538462,0.2296636551618576,0.651856541633606,0.09168784455152658,61,0.49249304513462255,0.625368058681488,0.0,3.8163351000112016,4028.2102061621576,0.958699244059713,15029.0,2.524936139656722,1630.0,0.6239270509148446,14986.0,0.6087588902620169,1625.0,0.027243237982198798,15373.0,0.031809265274967406,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,2,1.2937481452203918,2.6806800019871737,0.0009997557473810372,15373,1642,181,16,58530,58530,58530,0.0009990232305719948,0.0009990232305719948,3625,0.6015691161155701,0.2853991687297821,0.2838912904262543,0.5391819477081299,1.3063111305236816,1.8594926595687866,0.09693854302167892,58480,58480,58480,50,50,50,68.828125,92.68511199951172,88.07530212402344,117.94231414794922,0.7572400907513679,0.2023376077413559,0.5950236916542053,0.175695901807588,126.53750610351562,159.48519897460938,121.86616516113281,155.88543701171875,0.6824615384615385,0.21371972560882568,0.6183338165283203,0.10286755106540826,61,0.3841462257455607,0.5297014117240906,0.0,4.240834399999585,3624.99417567484,0.8002164105933872,15029.0,2.069683518731521,1630.0,0.5852862975474242,14986.0,0.5775003688885615,1625.0,0.027426814065881086,15373.0,0.032559080625658494,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,3,1.1112779692248658,2.253446690493176,0.0009990232305719948,15373,1642,181,16,58530,58530,58530,0.0009978031724785256,0.0009978031724785256,3625,0.6118806600570679,0.28412991762161255,0.2915460765361786,0.5517133474349976,1.3014748096466064,1.8247685432434082,0.14060652256011963,58480,58480,58480,50,50,50,59.84294509887695,80.55956268310547,77.7760238647461,104.20292663574219,0.7910049379420793,0.18061068654060364,0.5470749139785767,0.17519015659833317,110.2293701171875,139.7156982421875,112.80976104736328,144.27012634277344,0.72,0.19819435477256775,0.5839914679527283,0.11044349741247983,61,0.336114014514157,0.7982566952705383,0.0,4.653452500002459,3303.568694424597,0.6593862076197186,15029.0,1.6735269932659125,1630.0,0.5420522034589843,14986.0,0.5455070957770715,1625.0,0.02819244566014944,15373.0,0.03369362999193924,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,4,0.9617096497956246,1.9296202912255123,0.0009978031724785256,15373,1642,181,16,58530,58530,58530,0.000996096777150667,0.000996096777150667,3625,0.6227690577507019,0.28325003385543823,0.3020162880420685,0.5610319972038269,1.294724464416504,1.801892876625061,0.17870749533176422,58480,58480,58480,50,50,50,52.33421325683594,70.39974975585938,68.91537475585938,91.8155517578125,0.8154944614973976,0.1607520580291748,0.5006945133209229,0.16673478983759277,97.57524871826172,123.80183410644531,104.39630126953125,133.2613067626953,0.7495384615384615,0.1839892566204071,0.5508900880813599,0.10991011830476614,61,0.29179479621472904,0.9391111135482788,0.0,3.7231178999936674,4129.066124934197,0.5350634304240075,15029.0,1.379401390025952,1630.0,0.4992460897596309,14986.0,0.5147128977408776,1625.0,0.029245200443179034,15373.0,0.03495208962154592,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,5,0.8631916928444859,1.7380779135096522,0.000996096777150667,15373,1642,181,16,58530,58530,58530,0.0009939057285945933,0.0009939057285945933,3625,0.6309443712234497,0.2831578254699707,0.3078587055206299,0.5686928629875183,1.2886501550674438,1.7878029346466064,0.20806287229061127,58480,58480,58480,50,50,50,48.06523513793945,64.38904571533203,63.42333984375,83.90890502929688,0.8353129587615108,0.1449316293001175,0.4613039195537567,0.15686670499768648,90.54658508300781,114.48039245605469,98.92086029052734,125.8510971069336,0.7612307692307693,0.17340299487113953,0.5245121717453003,0.09239491526667888,61,0.23661298878857348,0.6256009340286255,0.0,4.713768200017512,3261.2974053206285,0.4510225216697033,15029.0,1.2114604136329488,1630.0,0.4607002735018619,14986.0,0.4901494515492366,1625.0,0.030020342470824444,15373.0,0.03599351060993053,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,6,0.8029610043208507,1.6369903990760646,0.0009939057285945933,15373,1642,181,16,58530,58530,58530,0.0009912321891107003,0.0009912321891107003,3625,0.6360379457473755,0.28338366746902466,0.3156287372112274,0.5723019242286682,1.279471516609192,1.770119071006775,0.2291278839111328,58480,58480,58480,50,50,50,45.9747200012207,61.37181091308594,60.515254974365234,79.68242645263672,0.846189777125317,0.13349765539169312,0.4312019944190979,0.1442783308806698,87.12850189208984,109.90337371826172,96.26031494140625,121.82952880859375,0.7667692307692308,0.16660988330841064,0.506318986415863,0.07303277155527702,61,0.20484041630244645,0.64531409740448,0.0,8.531672200013418,1801.8741976485949,0.4059568541406419,15029.0,1.1265741445901203,1630.0,0.4298140540207942,14986.0,0.4732185665277334,1625.0,0.0308250593898614,15373.0,0.03674164044145545,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,7,0.7644233336982487,1.5894229432406872,0.0009912321891107003,15373,1642,181,16,58530,58530,58530,0.0009880787971596784,0.0009880787971596784,3625,0.6391042470932007,0.28367868065834045,0.3180939555168152,0.5739363431930542,1.2759689092636108,1.758746862411499,0.24479296803474426,58480,58480,58480,50,50,50,44.91468811035156,59.86637878417969,58.92100143432617,77.42988586425781,0.8537301481382624,0.1250748485326767,0.40786781907081604,0.13240933792291357,85.68500518798828,108.05714416503906,94.94490814208984,119.80907440185547,0.7661538461538462,0.16275016963481903,0.4950023293495178,0.05172740167035506,61,0.18789473664565165,0.5549404621124268,0.0,8.15351879998343,1885.4436197573054,0.38008550730950263,15029.0,1.0889541799305407,1630.0,0.40507027628535375,14986.0,0.46272245163183945,1625.0,0.031088635123088924,15373.0,0.03728838365220995,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,8,0.737418189081646,1.5690669172719103,0.0009880787971596784,15373,1642,181,16,58530,58530,58530,0.0009844486647586689,0.0009844486647586689,3625,0.6412670612335205,0.28389349579811096,0.3216294050216675,0.5752362012863159,1.2736890316009521,1.7505037784576416,0.25730183720588684,58480,58480,58480,50,50,50,44.345855712890625,59.074344635009766,57.970638275146484,76.10478973388672,0.8596690244227946,0.11865169554948807,0.38938623666763306,0.12224479528438824,85.01666259765625,107.22345733642578,94.40485382080078,119.01087951660156,0.7649230769230769,0.16097323596477509,0.4892759919166565,0.04183574965596199,61,0.18773169131552586,0.6836573481559753,0.0,6.491526999976486,2368.163915833006,0.36962346393624673,15029.0,1.07352056367997,1630.0,0.38887853912703907,14986.0,0.4573859176819141,1625.0,0.03142963662566185,15373.0,0.03770531397244817,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,9,0.716370832762659,1.5513622306296364,0.0009844486647586689,15373,1642,181,16,58530,58530,58530,0.0009803453744100799,0.0009803453744100799,3625,0.6429198384284973,0.2842198610305786,0.32261112332344055,0.5774075388908386,1.2702823877334595,1.7453783750534058,0.268096923828125,58480,58480,58480,50,50,50,44.039878845214844,58.59654235839844,57.36629104614258,75.2933578491211,0.8634725744027759,0.1135101318359375,0.37410038709640503,0.11254123363924909,84.49517059326172,106.5103530883789,93.89727020263672,118.16889953613281,0.7667692307692308,0.15940649807453156,0.48470431566238403,0.028609064106757825,61,0.1841069567398947,0.6448670625686646,0.0,6.001598200004082,2561.484372610873,0.3600269577739418,15029.0,1.0596864755899629,1630.0,0.3736452992230427,14986.0,0.4531616014333872,1625.0,0.03154256562330689,15373.0,0.03805859600183589,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,10,0.699404568955373,1.5549379902257698,0.0009803453744100799,15373,1642,181,16,58530,58530,58530,0.0009757729755660917,0.0009757729755660917,3625,0.6444056034088135,0.2843022048473358,0.32374846935272217,0.5781702399253845,1.2666712999343872,1.7414335012435913,0.2779417335987091,58480,58480,58480,50,50,50,43.76730728149414,58.29752731323242,56.88777160644531,74.73036193847656,0.8683437875350327,0.1092749610543251,0.3612011969089508,0.10581340020903182,84.76136779785156,106.79816436767578,93.57381439208984,117.75826263427734,0.7661538461538462,0.15904203057289124,0.48332875967025757,0.020280301763461187,61,0.1864673246125706,0.7101616263389587,0.0,6.109625899989624,2516.193340090775,0.3568504708173691,15029.0,1.0642469807270847,1630.0,0.36261251345068024,14986.0,0.45184865302305954,1625.0,0.03183425319947073,15373.0,0.03837178460573017,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
development,phase-core,additive,11,0.6849965316630647,1.5513239804197025,0.0009757729755660917,15373,1642,181,16,58530,58530,58530,0.0009707359806323323,0.0009707359806323323,3625,0.6459473967552185,0.2842908203601837,0.32601118087768555,0.5794737935066223,1.2656434774398804,1.7385659217834473,0.2871856689453125,58480,58480,58480,50,50,50,43.60359573364258,58.06222152709961,56.69113540649414,74.37760925292969,0.8706125717336181,0.10567600280046463,0.35001978278160095,0.09759287568727495,84.56149291992188,106.4939193725586,93.34691619873047,117.41046142578125,0.7661538461538462,0.1591426581144333,0.48362797498703003,0.017913893791345448,61,0.18843006403719792,0.9465028047561646,0.0,5.2562903000216465,2924.686256376801,0.34825384920248925,15029.0,1.060125685835177,1630.0,0.3494710500939863,14986.0,0.45208153104782106,1625.0,0.031994135488751095,15373.0,0.03863353860291145,1642.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,
