run_path,tensorboard_root,study_id,phase,architecture,initialization,seed,test_week,max_grad_norm,candidate_epochs,event_file_count,bytes,oldest_at_utc,newest_at_utc,scalar_tag_count,max_step,status
runs/frozen_prior_warmup_sidecars_v58_2026,frozen_prior_warmup_sidecars_v58_2026,,legacy-or-unknown,,,,,,,1,397644,2026-05-30T18:18:50.665372+00:00,2026-05-30T18:18:50.665372+00:00,46,159,readable
runs/frozen_prior_warmup_v58_2026,frozen_prior_warmup_v58_2026,,legacy-or-unknown,,,,,,,1,381114,2026-05-30T17:20:04.283009+00:00,2026-05-30T17:20:04.283009+00:00,44,159,readable
runs/prior_grid_1783866309,prior_grid_1783866309,,legacy-or-unknown,,,,,,,1,2604,2026-07-12T14:25:09.864677+00:00,2026-07-12T14:25:09.864677+00:00,38,1,readable
runs/prior_grid_1783866447,prior_grid_1783866447,,legacy-or-unknown,,,,,,,1,2604,2026-07-12T14:27:27.962638+00:00,2026-07-12T14:27:27.962638+00:00,38,1,readable
runs/prior_grid_1783871875,prior_grid_1783871875,,legacy-or-unknown,,,,,,,1,2604,2026-07-12T15:57:56.771524+00:00,2026-07-12T15:57:56.771524+00:00,38,1,readable
runs/prior_grid_1783872072,prior_grid_1783872072,,legacy-or-unknown,,,,,,,1,2604,2026-07-12T16:01:12.977486+00:00,2026-07-12T16:01:12.977486+00:00,38,1,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0,reference-2026-static-reliability,2026-static-reliability-full,development-grid,additive,,,,10.0,,1,453198,2026-07-12T20:21:24.799682+00:00,2026-07-12T20:21:24.799682+00:00,160,800,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0/contract,reference-2026-static-reliability,2026-static-reliability-full,development-grid,additive,,,,10.0,,1,1024,2026-07-12T20:20:05.281860+00:00,2026-07-12T20:20:05.281860+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_10_0/outcomes,reference-2026-static-reliability,2026-static-reliability-full,development-grid,additive,,,,10.0,,1,3700,2026-07-12T20:21:36.619269+00:00,2026-07-12T20:21:36.619269+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-full/development/additive/clip_2_5,reference-2026-static-reliability,2026-static-reliability-full,development-grid,additive,,,,2.5,,1,461082,2026-07-12T20:08:51.671781+00:00,2026-07-12T20:08:51.671781+00:00,160,800,readable
