model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
additive,additive,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,139.89301820901363,-40.78897103829819,72.22267705909417,98.09844661099936,122.30230793714628,20.0,556.4299999999998,43.84072798029318,305.7435101140165
additive,additive,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,229.53175182192425,-67.97586084555446,92.64579275899932,116.909321149703,129.53957317383203,33.0,651.3400000000001,48.101012764143135,473.60741758993254
additive,additive,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,339.0376293893409,-95.00705336311668,122.08128499454516,150.98103174159206,158.70454339775054,102.96000000000001,797.6300000000001,150.9326322839312,595.9244144007502
full-match,full-match,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,122.34540713969068,-58.33658210762116,73.12980767460988,95.64894516764818,104.57431276237378,20.0,556.4299999999998,19.383198117285705,367.7992228695281
full-match,full-match,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,228.95280783663935,-68.5548048308393,89.72273924302112,113.19015037177418,121.37935841744107,33.0,651.3400000000001,51.53688943921616,453.073252523199
full-match,full-match,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,367.178700974384,-66.86598177807355,106.3569617533388,133.90853661190283,157.55064510126803,102.96000000000001,797.6300000000001,148.36100301554254,525.3796399422351
mean,additive-control,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,150.999595578323,-29.682393668988837,92.35781207872742,123.24527945784686,160.1500241859463,20.0,556.4299999999998,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,8,aggregate,all,all,1642,3284,297.50761266747867,165.5135627398686,-131.9940499276101,152.43857297856715,189.93813691521862,180.0067583358919,33.0,651.3400000000001,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,10,aggregate,all,all,1119,2238,434.04468275245756,178.55311527394448,-255.49156747851302,259.74537627054843,297.3584971532707,208.09829643725902,102.96000000000001,797.6300000000001,171.94597451406423,185.16025603382468
ridge,additive-control,pre-2026-prior,6,aggregate,all,all,1860,3720,180.68198924731183,112.7931558540228,-67.88883339328903,110.83053200073853,146.15794572715978,175.81519382774974,20.0,556.4299999999998,-162.52054400707937,540.9902092459392
